OrderNumber,ShippingAddress,Order,AccountNumber,CartNumber
8000058,"Oakland, CA 94603",Dispatched,10000010,15000
8000068,7922 Galvin Lane,Confirmed,10000013,15015
8000078,"Mount Vernon, NY 10550",Processing,10000016,15030
8000088,1 W. Pulaski Dr.,Delivered,10000019,15045
8000098,"Mechanicsburg, PA 17050",Delivered,10000022,15060
8000108,8492 Warren Court,Dispatched,10000025,15075
8000118,"Fresno, CA 93706",Delivered,10000028,15090
8000128,9739 Swanson Avenue,Dispatched,10000031,15105
8000138,"Fitchburg, MA 01420",Confirmed,10000034,15120
8000148,2 York Street,Dispatched,10000037,15135
8000158,"Far Rockaway, NY 11691",Processing,10000040,15150
8000168,8350 West Creek Drive,Delivered,10000043,15165
8000178,"Ft Mitchell, KY 41017",Processing,10000046,15180
8000188,9 N. Lyme Street,Delivered,10000049,15195
8000198,"Vienna, VA 22180",Confirmed,10000052,15210
8000208,2 Charles Road,Confirmed,10000055,15225
8000218,"Brockton, MA 02301",Confirmed,10000058,15240
8000228,79 Princeton Ave.,Dispatched,10000061,15255
8000238,"Harrisonburg, VA 22801",Dispatched,10000064,15270
8000248,1 Shirley Drive,Confirmed,10000067,15285
8000258,"Christiansburg, VA 24073",Confirmed,10000070,15300
8000268,69 Glenholme Rd.,Delivered,10000073,15315
8000278,"Herndon, VA 20170",Processing,10000076,15330
8000288,8344 Logan Ave.,Processing,10000079,15345
8000298,"Mcminnville, TN 37110",Confirmed,10000082,15360
8000308,596 Lantern Dr.,Delivered,10000085,15375
8000318,"Baldwinsville, NY 13027",Dispatched,10000088,15390
8000328,834 Williams Ave.,Dispatched,10000091,15405
8000338,"Naugatuck, CT 06770",Dispatched,10000094,15420
8000348,13 John Drive,Delivered,10000097,15435
8000358,"Erie, PA 16506",Processing,10000100,15450
8000368,745 NW. Gainsway St.,Confirmed,10000103,15465
8000378,"Bismarck, ND 58501",Confirmed,10000106,15480
8000388,44 Prairie Circle,Processing,10000109,15495
8000398,"Abingdon, MD 21009",Confirmed,10000112,15510
8000408,841 E. Fairway Street,Dispatched,10000115,15525
8000418,"Franklin, MA 02038",Confirmed,10000118,15540
8000428,76 N. Rock Creek St.,Dispatched,10000121,15555
8000438,"Emporia, KS 66801",Dispatched,10000124,15570
8000448,8636 Edgemont St.,Confirmed,10000127,15585
8000458,"Ada, OK 74820",Delivered,10000130,15600
8000468,60 Overlook Lane,Dispatched,10000133,15615
8000478,"Hagerstown, MD 21740",Processing,10000136,15630
8000488,9180 N. Beach Court,Dispatched,10000139,15645
8000498,"Ashtabula, OH 44004",Confirmed,10000142,15660
8000508,798 South Blue Spring Street,Confirmed,10000145,15675
8000518,"Rockford, MI 49341",Dispatched,10000148,15690
8000528,75 Sunbeam Court,Confirmed,10000151,15705
8000538,"Piqua, OH 45356",Delivered,10000154,15720
8000548,524 Beaver Ridge Drive,Confirmed,10000157,15735
8000558,"Farmingdale, NY 11735",Confirmed,10000160,15750
8000568,9037 Roberts Street,Confirmed,10000163,15765
8000578,"Zanesville, OH 43701",Processing,10000166,15780
8000588,6 Arnold Ave.,Processing,10000169,15795
8000598,"Rahway, NJ 07065",Delivered,10000172,15810
8000608,41 Henry Lane,Confirmed,10000175,15825
8000618,"Kent, OH 44240",Processing,10000178,15840
8000628,52 Cleveland Street,Dispatched,10000181,15855
8000638,"Dearborn, MI 48124",Delivered,10000184,15870
8000648,8884 Paris Hill Ave.,Delivered,10000187,15885
8000658,"Myrtle Beach, SC 29577",Processing,10000190,15900
8000668,531 Brown Lane,Confirmed,10000193,15915
8000678,"Bartlett, IL 60103",Dispatched,10000196,15930
8000688,26 Homestead Ave.,Confirmed,10000199,15945
8000698,"Lakeville, MN 55044",Dispatched,10000202,15960
8000708,258 Philmont Avenue,Delivered,10000205,15975
8000718,"Youngstown, OH 44512",Confirmed,10000208,15990
8000728,18 George Ave.,Delivered,10000211,16005
8000738,"Santa Clara, CA 95050",Processing,10000214,16020
8000748,7027 E. Vermont Street,Delivered,10000217,16035
8000758,"East Elmhurst, NY 11369",Delivered,10000220,16050
8000768,33 Whitemarsh Drive,Delivered,10000223,16065
8000778,"Helena, MT 59601",Confirmed,10000226,16080
8000788,494 Manchester Ave.,Confirmed,10000229,16095
8000798,"Harvey, IL 60426",Delivered,10000232,16110
8000808,499 Jones Ave.,Delivered,10000235,16125
8000818,"Glenview, IL 60025",Dispatched,10000238,16140
8000828,651 Colonial Court,Processing,10000241,16155
8000838,"Mokena, IL 60448",Dispatched,10000244,16170
8000848,966 Harrison Dr.,Processing,10000247,16185
8000858,"Champlin, MN 55316",Confirmed,10000250,16200
8000868,29 School Ave.,Delivered,10000253,16215
8000878,"Palm Harbor, FL 34683",Delivered,10000256,16230
8000888,8169 Big Rock Cove Drive,Processing,10000259,16245
8000898,"Medford, MA 02155",Processing,10000262,16260
8000908,484 Jennings Street,Dispatched,10000265,16275
8000918,"Torrance, CA 90505",Dispatched,10000268,16290
8000928,7408 Stonybrook St.,Dispatched,10000271,16305
8000938,"Orchard Park, NY 14127",Dispatched,10000274,16320
8000948,9616 Thomas Road,Delivered,10000277,16335
8000958,"Corpus Christi, TX 78418",Confirmed,10000280,16350
8000968,575 West Manchester Ave.,Processing,10000283,16365
8000978,"San Jose, CA 95127",Dispatched,10000286,16380
8000988,730 Lawrence Dr.,Confirmed,10000289,16395
8000998,"Miamisburg, OH 45342",Delivered,10000292,16410
8001008,830 West Durham Ave.,Delivered,10000295,16425
8001018,"Haines City, FL 33844",Dispatched,10000298,16440
