retailerID,password,state,id,accountId
1,XvDNhezd,New,2,10051010
2,FkLkWfCb,Blocked,4,10051011
3,PgDtAU3Z,Banned,6,10051012
4,aTVC7Yae,Active,8,10051013
5,v4tbhbjN,Active,10,10051014
6,mHHrF39t,Banned,12,10051015
7,RUNAuaKj,New,14,10051016
8,RFHNDEPd,Blocked,16,10051017
9,qWf2nNXQ,Blocked,18,10051018
10,FHqqKx4a,Active,20,10051019
11,CJxJDpt5,Active,22,10051020
12,JHuGR24w,Active,24,10051021
13,LES7jJeG,Blocked,26,10051022
14,AzyuBpbm,Active,28,10051023
15,rrnB4huk,Active,30,10051024
16,VsRBZkAf,Active,32,10051025
17,LWQZCRa3,Active,34,10051026
18,BPEWrQge,Active,36,10051027
19,BWU5q6Tt,Active,38,10051028
20,Ntx5yPph,Active,40,10051029
21,Kyf7kMNu,Active,42,10051030
22,uk8CK7mR,Banned,44,10051031
23,pWudTdTV,Banned,46,10051032
24,wgfjKHAF,New,48,10051033
25,2e284W5f,New,50,10051034
26,7gyvnRtu,New,52,10051035
27,cdgxp5ZV,Blocked,54,10051036
28,uEzmHNGS,Banned,56,10051037
29,xxT29uAH,Active,58,10051038
30,ddcbN4Mm,Active,60,10051039
31,Wxapdrnr,Banned,62,10051040
32,bEYmrqV9,New,64,10051041
33,Pr6yygZn,Blocked,66,10051042
34,MmFe7dGj,Blocked,68,10051043
35,deSbgacq,Active,70,10051044
36,ESL8Ww2n,Active,72,10051045
37,9KEfVT3W,Active,74,10051046
38,9cJfvaCx,Blocked,76,10051047
39,zs29hVs4,Active,78,10051048
40,SRdpSpTP,Active,80,10051049
41,ZwRYdGkc,Active,82,10051050
42,eq7u948Q,Active,84,10051051
43,rEDsxpsy,Active,86,10051052
44,YUMLQzw4,Active,88,10051053
45,bgmkZRck,Active,90,10051054
46,JAPZsQ2x,Active,92,10051055
47,wcjtGvtU,Banned,94,10051056
48,R4CZqsub,Banned,96,10051057
49,afrFQpEY,New,98,10051058
50,ykcddu6X,New,100,10051059
51,CaJxskjR,New,102,10051060
52,2Rcfnum2,Blocked,104,10051061
53,FfZV7pRh,Banned,106,10051062
54,fYjSxwbU,Active,108,10051063
55,xtuSKRtM,Active,110,10051064
56,q9YauKcE,Banned,112,10051065
57,7DA83baY,New,114,10051066
58,BzMtLfcv,Blocked,116,10051067
59,bd3auTNk,Blocked,118,10051068
60,JqxYE9dT,Active,120,10051069
61,LL5fjqMn,Active,122,10051070
62,23Wmf8MN,Active,124,10051071
63,S5XyDAcc,Blocked,126,10051072
64,LKzRY2ms,Active,128,10051073
65,k5S5T9dp,Active,130,10051074
66,SUBYghuN,Active,132,10051075
67,fgjkrj5y,Active,134,10051076
68,c3NvyQkC,Active,136,10051077
69,qxUzpUEj,Active,138,10051078
70,ugRmTwHy,Active,140,10051079
71,zTTDzgAv,Active,142,10051080
72,y4dCnbnG,Banned,144,10051081
73,3eF8G84S,Banned,146,10051082
74,9GrbbSZy,New,148,10051083
75,rqTwsEwG,New,150,10051084
76,XZHjGc4B,New,152,10051085
77,LtjzQvt8,Blocked,154,10051086
78,Vxv6mEfn,Banned,156,10051087
79,zqwZFVnN,Active,158,10051088
80,awr9dEE2,Active,160,10051089
81,P6gJcpFL,Banned,162,10051090
82,JsPbwuXj,New,164,10051091
83,UfzfpqE6,Blocked,166,10051092
84,v7jtGwMk,Blocked,168,10051093
85,HP5pj3kZ,Active,170,10051094
86,jASKnZNj,Active,172,10051095
87,AD65Nyf9,Active,174,10051096
88,NutCa3Uq,Blocked,176,10051097
89,M5yXkyTw,Active,178,10051098
90,nBU7FN7L,Active,180,10051099
91,kNCMQuQw,Active,182,10051100
92,uWrJdHJR,Active,184,10051101
93,XsDvXEz9,Active,186,10051102
94,DfHMJT6p,Active,188,10051103
95,EVhL4pC5,Active,190,10051104
96,9tjeanxR,Active,192,10051105
97,rfMKqfSs,Banned,194,10051106
98,6v9WAnZS,Banned,196,10051107
99,PY8JYtfj,New,198,10051108
100,8mrK2cKm,New,200,10051109
101,XvDNhezd,New,202,10051110
102,FkLkWfCb,Blocked,204,10051111
103,PgDtAU3Z,Banned,206,10051112
104,aTVC7Yae,Active,208,10051113
105,v4tbhbjN,Active,210,10051114
106,mHHrF39t,Banned,212,10051115
107,RUNAuaKj,New,214,10051116
108,RFHNDEPd,Blocked,216,10051117
109,qWf2nNXQ,Blocked,218,10051118
110,FHqqKx4a,Active,220,10051119
111,CJxJDpt5,Active,222,10051120
112,JHuGR24w,Active,224,10051121
113,LES7jJeG,Blocked,226,10051122
114,AzyuBpbm,Active,228,10051123
115,rrnB4huk,Active,230,10051124
116,VsRBZkAf,Active,232,10051125
117,LWQZCRa3,Active,234,10051126
118,BPEWrQge,Active,236,10051127
119,BWU5q6Tt,Active,238,10051128
